timestamp,x,y,z
0,-3.37,5.15,4.47
10,-3.7,5.01,4.5
20,-3.69,4.29,4.89
30,-3.77,4.62,4.4
40,-4.12,4.76,4.81
50,-3.49,4.48,4.5
60,-4.1,4.43,5.01
70,-4.36,4.65,5.14
80,-3.48,4.21,4.67
90,-3.17,4.52,5.5
100,-3.95,4.52,5.43
110,-3.75,4.15,5.24
120,-4.0,3.83,5.31
130,-3.62,3.72,5.45
140,-2.74,3.93,5.44
150,-2.44,4.16,5.13
160,-1.97,4.24,4.87
170,-1.56,4.41,4.8
180,-0.86,4.25,5.67
190,-0.88,3.9,5.28
200,-0.89,3.77,5.31
210,0.02,3.96,5.2
220,1.05,4.53,5.59
230,1.0,4.53,6.39
240,1.01,4.29,6.21
250,1.55,4.29,6.28
260,2.79,4.64,7.06
270,4.0,4.9,8.18
280,4.72,5.06,9.08
290,6.31,5.28,9.78
300,6.55,5.52,9.72
310,7.75,5.65,9.41
320,9.17,5.48,9.33
330,10.51,5.46,9.56
340,11.18,5.71,8.71
350,11.21,5.4,8.81
360,10.63,5.11,8.11
370,10.52,4.14,7.96
380,9.28,4.2,6.92
390,9.75,4.02,6.57
400,8.27,3.52,7.01
410,6.47,2.94,6.23
420,5.37,2.51,6.16
430,4.15,1.95,7.58
440,3.2,1.67,7.45
450,1.3,1.26,6.85
460,-1.09,0.64,6.66
470,-3.57,0.01,6.39
480,-5.64,-0.36,6.79
490,-7.5,-1.05,7.19
500,-9.43,-1.51,7.28
510,-10.46,-1.64,7.21
520,-11.27,-1.85,7.18
530,-12.02,-2.0,7.07
540,-13.18,-2.37,7.0
550,-14.34,-2.51,6.76
560,-16.14,-2.78,6.36
570,-18.0,-2.89,5.86
580,-18.8,-2.77,5.37
590,-18.8,-2.52,4.48
600,-18.01,-2.17,3.65
610,-17.05,-1.65,2.42
620,-15.73,-1.4,1.74
630,-15.07,-1.38,1.37
640,-14.78,-1.53,1.46
650,-14.52,-1.7,1.92
660,-14.72,-1.92,2.72
670,-14.85,-2.16,3.54
680,-15.0,-2.38,3.72
690,-14.18,-2.37,3.6
700,-12.55,-2.22,3.28
710,-10.94,-1.88,2.77
720,-9.7,-1.53,2.63
730,-9.04,-1.41,3.29
740,-7.73,-1.06,3.87
750,-6.93,-1.07,5.14
760,-4.99,-0.62,5.88
770,-3.52,-0.25,6.59
780,-1.53,0.2,7.12
790,0.38,0.86,7.81
800,3.04,1.58,8.58
810,4.41,1.98,9.58
820,4.32,2.13,10.33
830,4.83,2.61,10.49
840,5.49,2.76,10.77
850,6.48,3.03,10.33
860,6.88,3.35,10.12
870,7.64,3.31,10.42
880,8.54,3.28,10.58
890,9.77,3.64,10.4
900,10.39,4.37,10.39
910,11.9,3.95,10.58
920,12.01,3.68,11.74
930,11.95,3.72,11.43
940,12.05,3.92,9.77
950,12.25,3.78,8.37
960,11.03,3.4,8.07
970,9.94,2.88,7.83
980,8.91,2.38,7.63
990,7.73,1.94,7.75
1000,7.03,1.49,8.01
