timestamp,x,y,z
0,-7.85,4.65,1.61
10,-8.71,4.51,1.57
20,-9.03,4.34,1.56
30,-9.36,4.18,1.67
40,-9.99,3.85,2.09
50,-10.98,3.12,3.09
60,-13.23,2.19,4.15
70,-14.61,1.56,4.86
80,-16.21,0.83,5.53
90,-17.35,0.31,5.9
100,-17.72,-0.06,6.05
110,-16.98,-0.41,5.85
120,-15.88,-0.62,5.09
130,-14.33,-0.66,5.66
140,-12.45,-0.52,6.43
150,-10.5,-0.62,6.99
160,-8.42,-0.71,7.6
170,-6.22,-0.75,8.19
180,-3.63,-0.68,9.0
190,-0.37,-0.12,9.25
200,3.29,1.08,8.82
210,6.69,2.28,7.93
220,9.98,3.86,6.05
230,12.39,5.5,4.13
240,15.24,7.61,2.69
250,19.51,9.31,1.9
260,26.91,10.77,-3.27
270,25.97,11.13,1.02
280,24.72,10.34,4.25
290,22.67,9.08,5.92
300,20.82,7.74,6.56
310,19.32,6.5,6.46
320,18.11,5.55,5.99
330,17.15,4.76,5.27
340,16.24,4.03,4.65
350,15.34,3.34,4.46
360,14.51,2.62,4.93
370,13.74,2.06,5.77
380,12.82,1.53,6.5
390,11.69,0.79,6.86
400,10.25,-0.35,6.9
410,8.55,-1.66,7.13
420,6.92,-2.99,7.63
430,5.2,-4.46,8.56
440,3.4,-6.13,9.8
450,0.76,-7.6,10.81
460,-1.65,-9.06,11.66
470,-3.94,-10.72,12.13
480,-14.3,-11.73,19.78
490,-12.8,-12.22,15.94
500,-13.88,-12.32,13.96
510,-15.59,-12.23,11.84
520,-17.23,-12.06,10.34
530,-18.65,-11.59,8.6
540,-19.93,-11.05,6.3
550,-20.65,-10.54,3.73
560,-21.14,-10.04,1.34
570,-21.63,-9.73,-0.18
580,-21.18,-10.05,0.33
590,-21.49,-10.34,0.95
600,-22.28,-10.52,1.59
610,-22.88,-10.8,2.06
620,-22.31,-10.96,2.01
630,-21.32,-10.66,1.44
640,-19.99,-10.29,1.29
650,-18.0,-10.03,1.23
660,-15.68,-10.07,1.19
670,-13.51,-10.11,0.94
680,-11.08,-10.19,0.59
690,-8.83,-10.48,0.92
700,-7.85,-10.79,2.65
710,-7.14,-11.1,4.58
720,-5.63,-11.13,5.75
730,-2.49,-10.73,7.05
740,1.37,-9.1,8.86
750,6.18,-7.71,12.62
760,9.8,-5.99,14.0
770,11.53,-4.27,13.49
780,13.47,-2.21,12.93
790,14.85,0.11,13.29
800,20.09,3.1,15.71
810,19.39,6.1,16.88
820,19.93,6.33,22.94
830,24.03,6.28,29.89
840,26.52,7.77,29.53
850,24.59,7.93,27.99
860,21.44,7.46,24.21
870,20.15,6.97,18.96
880,18.3,6.05,15.01
890,16.25,4.92,11.33
900,14.57,3.72,7.98
910,13.0,2.5,6.2
920,11.08,1.47,5.16
930,9.58,0.75,5.18
940,8.93,0.04,6.11
950,9.73,-0.05,4.99
960,7.35,-1.47,7.8
970,5.89,-2.05,9.62
980,4.87,-2.97,10.7
990,3.73,-4.1,11.9
1000,2.61,-5.24,12.68
