timestamp,x,y,z
0,5.5,4.37,6.69
10,9.21,6.05,7.6
20,14.96,8.02,8.67
30,19.3,10.05,8.61
40,21.4,11.7,7.75
50,22.57,12.53,6.99
60,23.04,12.08,6.68
70,21.56,10.91,7.31
80,19.52,9.39,7.73
90,17.7,8.02,7.22
100,15.74,6.45,5.91
110,13.63,4.75,4.78
120,11.57,3.39,4.54
130,10.03,2.34,4.27
140,8.87,1.44,3.3
150,7.26,0.83,1.11
160,4.84,0.33,-2.11
170,2.61,-0.95,-4.09
180,0.12,-3.13,-5.55
190,-3.68,-6.49,-4.13
200,-8.28,-10.17,-1.11
210,-16.19,-14.78,4.46
220,-21.95,-17.76,6.7
230,-29.12,-19.21,9.88
240,-34.68,-20.13,12.0
250,-37.85,-19.3,11.58
260,-36.06,-17.47,9.7
270,-32.32,-16.06,6.43
280,-28.2,-14.72,3.34
290,-25.46,-13.22,2.21
300,-24.13,-12.22,2.53
310,-20.59,-11.68,2.98
320,-16.99,-10.81,2.61
330,-13.56,-9.73,2.17
340,-9.2,-9.05,2.64
350,-3.51,-7.42,3.67
360,4.91,-4.87,6.28
370,13.9,-1.38,8.92
380,22.53,2.14,12.9
390,27.51,6.1,13.67
400,32.79,9.01,16.87
410,35.47,12.28,15.16
420,34.81,14.63,15.25
430,33.48,14.99,15.22
440,31.03,14.48,15.73
450,28.15,14.12,13.98
460,25.13,12.88,12.09
470,23.82,11.33,9.59
480,20.25,8.78,10.47
490,17.28,6.93,10.24
500,14.56,5.13,9.28
510,12.19,3.7,8.66
520,10.09,2.21,9.82
530,8.62,0.94,10.47
540,7.33,-0.85,10.61
550,5.53,-3.58,10.77
560,2.6,-6.86,11.57
570,-0.57,-10.28,12.07
580,-3.73,-12.01,12.07
590,-12.58,-14.89,17.7
600,-16.59,-16.35,18.08
610,-20.49,-16.29,15.73
620,-23.19,-15.79,12.1
630,-25.09,-14.8,8.38
640,-25.33,-14.52,4.99
650,-26.53,-15.39,2.88
660,-28.73,-15.24,1.4
670,-30.69,-14.45,0.48
680,-29.93,-13.81,0.64
690,-26.58,-12.3,0.67
700,-21.48,-10.47,0.93
710,-15.54,-8.56,1.43
720,-8.8,-6.69,2.83
730,-3.07,-4.69,4.54
740,2.37,-1.57,6.92
750,8.77,3.04,8.96
760,17.69,6.53,11.77
770,23.71,9.25,14.16
780,20.59,12.33,9.73
790,19.13,14.82,5.27
800,16.53,12.13,11.28
810,12.76,12.52,11.02
820,10.49,12.22,9.75
830,8.86,11.69,7.66
840,8.05,10.44,6.64
850,6.76,8.75,7.65
860,4.18,7.85,7.9
870,1.51,7.49,6.06
880,-0.6,6.73,5.17
890,-1.54,5.95,4.81
900,-1.57,5.51,4.54
910,-2.24,5.14,4.37
920,-3.09,4.63,4.4
930,-4.25,4.23,4.89
940,-5.27,4.08,5.21
950,-5.15,3.85,5.66
960,-5.01,3.8,5.96
970,-4.68,3.79,6.09
980,-4.06,3.7,6.11
990,-3.84,3.76,5.96
1000,-3.92,3.83,5.84
