timestamp,x,y,z
0,-11.24,2.71,4.42
10,-11.61,2.49,4.66
20,-11.77,2.34,4.72
30,-12.08,1.93,4.89
40,-12.52,1.41,4.97
50,-12.62,1.15,4.81
60,-12.41,0.92,4.67
70,-11.97,0.76,4.61
80,-10.98,0.87,4.31
90,-9.61,1.2,3.87
100,-8.32,1.44,4.12
110,-6.79,1.62,4.68
120,-5.54,1.6,5.44
130,-4.33,1.72,6.3
140,-3.06,1.95,7.12
150,-2.0,1.93,7.95
160,-1.38,1.69,8.39
170,-0.97,1.65,8.16
180,-0.55,1.62,7.81
190,-0.05,1.72,7.36
200,1.33,1.83,6.72
210,2.64,1.79,5.95
220,4.51,2.26,4.53
230,8.33,3.42,3.56
240,13.24,5.62,4.0
250,18.97,9.01,5.4
260,23.98,11.59,7.4
270,29.0,11.96,7.18
280,28.62,10.89,10.53
290,26.11,9.53,13.02
300,23.6,8.44,14.01
310,21.72,7.81,13.41
320,20.99,7.48,12.19
330,20.36,6.72,10.86
340,18.9,5.63,9.12
350,17.64,4.39,6.96
360,16.12,2.45,6.45
370,14.53,0.11,6.48
380,12.64,-2.85,5.55
390,9.5,-6.17,3.22
400,5.01,-9.87,1.5
410,0.0,-14.95,1.52
420,-6.39,-20.64,2.19
430,-12.22,-25.6,1.44
440,-30.34,-28.82,11.49
450,-40.68,-29.61,6.08
460,-45.03,-29.48,5.13
470,-46.69,-27.79,2.27
480,-45.13,-26.42,-0.88
490,-41.41,-24.88,-4.0
500,-37.05,-22.78,-5.18
510,-31.62,-21.13,-3.68
520,-25.97,-20.09,-0.86
530,-20.37,-19.29,1.27
540,-14.98,-18.76,2.15
550,-10.2,-17.88,2.03
560,-6.43,-16.85,1.67
570,-1.22,-16.14,3.19
580,9.25,-13.11,6.73
590,21.47,-6.97,11.65
600,36.77,-1.19,19.88
610,52.42,6.95,17.86
620,55.31,14.25,18.66
630,53.31,17.31,23.1
640,48.99,16.9,28.32
650,44.14,16.3,28.69
660,38.12,15.28,25.64
670,34.07,13.43,22.51
680,30.37,11.11,18.82
690,26.63,8.66,14.49
700,22.31,6.36,9.81
710,19.23,3.25,8.64
720,17.12,1.07,7.22
730,15.92,0.09,6.17
740,14.35,-0.64,4.77
750,12.39,-2.43,4.23
760,10.37,-5.72,4.63
770,8.05,-10.79,7.48
780,4.15,-17.54,13.06
790,0.55,-25.09,17.68
800,-8.84,-30.09,22.02
810,-21.8,-33.61,24.05
820,-27.94,-34.85,19.63
830,-33.9,-31.68,16.02
840,-33.93,-26.53,13.58
850,-29.18,-21.6,11.62
860,-25.51,-17.83,8.14
870,-21.39,-13.86,3.0
880,-18.33,-11.67,-0.76
890,-16.81,-9.65,-2.82
900,-15.56,-6.93,-3.95
910,-14.25,-4.71,-3.74
920,-12.95,-3.24,-3.52
930,-10.71,-1.03,-4.16
940,-8.29,0.64,-3.33
950,-5.25,2.91,-2.1
960,-2.91,4.19,-0.89
970,-1.43,5.06,0.71
980,-0.61,5.98,1.95
990,-0.6,6.35,3.32
1000,-1.7,6.7,3.47
