timestamp,x,y,z
0,-12.24,1.54,5.32
10,-12.11,1.53,5.92
20,-11.45,1.67,6.47
30,-10.21,2.2,6.92
40,-8.68,2.66,7.25
50,-6.96,3.21,7.49
60,-5.16,3.64,7.71
70,-3.35,4.13,7.86
80,-1.28,4.81,7.95
90,0.21,4.93,8.01
100,1.33,5.16,7.43
110,2.09,5.38,6.89
120,3.15,5.63,6.37
130,4.25,5.96,5.93
140,5.23,6.35,5.53
150,7.44,7.0,5.0
160,10.37,7.69,4.84
170,12.49,8.75,4.6
180,14.85,9.55,4.69
190,16.59,10.12,4.99
200,17.88,10.03,5.73
210,18.07,9.3,7.05
220,17.09,8.04,8.58
230,15.62,6.88,8.96
240,14.24,6.01,7.87
250,12.65,5.22,7.04
260,11.19,4.7,6.72
270,10.42,4.44,6.58
280,10.18,4.17,6.65
290,10.24,3.74,7.06
300,10.28,3.15,7.59
310,9.9,2.36,8.12
320,9.03,1.34,8.46
330,7.74,-0.09,8.58
340,6.37,-1.75,9.22
350,4.57,-3.4,9.71
360,2.94,-5.45,10.77
370,0.39,-8.1,12.1
380,-3.63,-10.94,12.03
390,-7.04,-12.96,11.36
400,-10.3,-14.57,10.95
410,-14.31,-15.84,9.73
420,-18.5,-15.69,7.3
430,-21.9,-15.44,5.33
440,-23.81,-14.6,4.09
450,-23.64,-13.24,3.79
460,-21.64,-11.65,3.66
470,-19.22,-10.25,3.3
480,-17.39,-9.25,2.32
490,-16.58,-8.67,0.93
500,-16.88,-8.2,-0.35
510,-17.32,-8.01,-1.31
520,-17.31,-8.29,-1.53
530,-17.29,-8.65,-0.88
540,-17.67,-8.89,0.18
550,-17.81,-9.11,1.09
560,-18.35,-9.27,1.92
570,-17.51,-9.6,3.25
580,-16.26,-9.5,4.04
590,-14.48,-9.08,4.83
600,-13.17,-8.49,5.62
610,-12.56,-8.0,6.17
620,-11.44,-7.41,6.35
630,-9.48,-6.96,6.64
640,-6.8,-6.09,7.22
650,-3.27,-5.09,8.35
660,1.11,-3.57,9.69
670,5.6,-1.91,11.66
680,9.57,0.05,13.3
690,11.67,2.03,13.03
700,13.9,3.68,12.94
710,15.01,5.49,13.09
720,15.62,7.4,13.05
730,16.33,9.2,13.81
740,20.31,9.51,17.0
750,18.32,10.39,19.24
760,18.79,11.17,17.99
770,19.9,11.22,15.63
780,20.01,11.15,13.4
790,19.0,10.76,11.59
800,17.42,9.7,10.72
810,15.47,8.04,9.64
820,13.92,6.99,8.02
830,12.31,5.64,6.82
840,10.53,4.12,5.94
850,8.94,2.57,5.41
860,7.79,1.36,5.15
870,6.8,-0.16,6.73
880,5.21,-1.62,8.04
890,3.93,-2.99,9.01
900,2.99,-4.23,9.74
910,2.42,-5.74,10.78
920,0.48,-7.04,11.86
930,-1.61,-8.35,13.2
940,-2.49,-9.39,14.06
950,-4.24,-10.0,15.31
960,-4.68,-10.06,14.32
970,-4.55,-10.44,12.71
980,-5.44,-10.76,10.61
990,-6.83,-11.27,8.74
1000,-7.71,-11.65,7.09
