timestamp,x,y,z
0,-13.42,3.31,2.32
10,-12.93,3.06,2.97
20,-12.22,2.8,3.76
30,-12.16,2.36,4.82
40,-12.2,1.94,6.27
50,-12.14,1.37,7.91
60,-12.01,1.07,8.9
70,-11.44,0.9,8.69
80,-10.79,0.98,8.02
90,-9.75,0.94,7.71
100,-8.47,0.98,7.27
110,-6.09,1.46,6.54
120,-2.38,2.22,6.45
130,1.57,3.36,5.41
140,7.58,4.9,3.85
150,11.59,7.09,1.24
160,15.65,8.61,0.49
170,18.14,9.29,-0.12
180,19.13,8.58,1.05
190,17.39,7.55,3.97
200,15.42,6.61,4.01
210,14.15,5.78,3.13
220,12.85,5.09,3.02
230,12.03,4.53,3.36
240,12.28,3.92,4.01
250,13.93,3.98,4.69
260,15.58,3.9,5.55
270,15.85,3.45,5.91
280,15.15,2.75,6.05
290,14.47,2.08,6.57
300,13.3,1.46,7.08
310,12.17,1.02,7.33
320,11.05,0.62,7.66
330,9.73,0.49,8.09
340,8.75,0.43,8.94
350,8.14,0.35,9.71
360,7.59,0.23,9.81
370,7.38,0.02,9.73
380,6.96,-0.47,9.73
390,6.24,-1.02,9.39
400,5.61,-1.69,8.31
410,5.21,-2.66,7.19
420,4.08,-3.75,5.89
430,2.49,-4.95,5.35
440,0.79,-6.51,5.72
450,-1.58,-8.07,6.68
460,-4.38,-9.58,7.47
470,-6.92,-10.66,7.87
480,-11.85,-11.02,10.6
490,-12.85,-11.04,9.18
500,-13.66,-10.7,7.49
510,-14.23,-10.22,5.45
520,-14.64,-9.9,3.81
530,-14.84,-9.75,3.02
540,-15.1,-10.1,3.03
550,-15.28,-10.67,3.22
560,-15.95,-11.09,3.48
570,-16.94,-11.09,3.7
580,-18.43,-11.31,4.08
590,-19.01,-11.09,3.71
600,-18.85,-10.61,3.3
610,-17.45,-10.15,2.71
620,-15.65,-9.45,2.1
630,-14.33,-8.54,1.82
640,-12.95,-7.91,2.2
650,-11.61,-7.24,2.86
660,-10.29,-6.58,3.91
670,-9.04,-5.95,5.27
680,-8.19,-5.48,6.24
690,-7.35,-4.92,6.19
700,-6.81,-4.5,5.27
710,-6.75,-4.19,3.44
720,-6.76,-4.02,1.54
730,-5.99,-3.75,0.95
740,-4.81,-4.09,2.24
750,-2.45,-5.13,5.67
760,0.36,-5.15,9.19
770,3.09,-4.23,11.92
780,7.2,-3.98,17.26
790,11.77,-2.1,20.29
800,12.82,0.29,17.64
810,12.65,0.95,15.73
820,10.42,0.98,13.71
830,7.88,0.49,12.4
840,5.24,-0.15,13.63
850,2.97,-0.96,16.76
860,5.3,-1.47,18.16
870,4.16,-2.69,24.64
880,4.16,-1.26,25.24
890,6.21,-1.06,23.59
900,8.44,-0.92,22.97
910,9.26,-0.73,21.41
920,8.28,-0.75,19.72
930,6.66,-0.73,18.5
940,5.4,-1.26,17.96
950,3.18,-1.45,15.74
960,1.92,-1.73,13.59
970,0.52,-2.05,11.34
980,-0.31,-2.17,9.66
990,-0.15,-2.26,9.06
1000,0.14,-2.89,9.26
