timestamp,x,y,z
0,-1.88,6.16,5.87
10,-1.97,6.87,6.0
20,-2.52,7.1,6.45
30,-2.59,6.99,6.65
40,-2.41,7.06,6.62
50,-2.4,7.08,6.74
60,-2.45,7.06,6.94
70,-2.4,7.07,6.83
80,-2.19,7.2,6.63
90,-2.11,7.01,6.53
100,-1.64,6.84,6.62
110,-0.43,6.95,7.1
120,-0.81,7.07,6.04
130,-0.91,6.45,6.17
140,0.64,6.32,6.16
150,0.59,6.62,4.54
160,0.78,6.49,3.66
170,0.8,6.46,2.85
180,0.45,6.58,1.84
190,0.59,6.57,0.87
200,-0.53,6.13,-0.38
210,2.16,6.29,-1.07
220,1.28,5.6,-2.94
230,1.7,4.66,-5.44
240,2.49,3.81,-8.04
250,0.94,2.71,-11.38
260,2.44,1.28,-12.78
270,4.63,-0.04,-13.26
280,5.77,-1.27,-12.22
290,7.13,-2.51,-10.3
300,9.17,-3.44,-8.54
310,11.26,-3.09,-6.5
320,12.0,-5.13,-5.53
330,12.9,-5.39,-3.54
340,12.27,-5.23,-2.4
350,10.84,-5.13,-0.81
360,9.55,-4.91,0.75
370,8.96,-4.37,2.23
380,8.32,-3.57,4.5
390,6.38,-2.66,8.37
400,3.64,-1.58,12.55
410,0.94,-0.69,16.45
420,-0.33,-0.06,18.29
430,-1.12,0.65,18.1
440,-4.63,-0.52,22.17
450,-4.31,2.86,19.14
460,-4.69,1.75,25.01
470,-4.45,4.77,25.95
480,2.15,4.19,30.84
490,-0.43,4.36,32.09
500,-2.67,5.05,30.49
510,-2.5,4.81,31.17
520,-0.17,4.18,31.16
530,1.99,3.54,29.14
540,4.12,2.97,27.28
550,5.25,2.43,25.45
560,6.95,2.52,22.87
570,7.69,2.2,20.91
580,8.73,1.92,19.45
590,10.39,1.53,19.33
600,10.22,0.67,17.27
610,11.05,-0.2,16.82
620,11.84,-0.33,15.15
630,10.61,-0.28,13.45
640,8.58,-0.11,11.56
650,6.67,-0.23,9.94
660,5.49,-0.41,8.38
670,4.71,-0.8,6.85
680,4.48,-0.98,5.65
690,4.41,-0.79,4.81
700,4.13,-0.6,3.93
710,3.07,-0.3,2.81
720,1.33,0.05,1.61
730,-0.14,0.01,1.26
740,-2.0,0.34,-0.25
750,-3.74,0.36,-1.93
760,-4.62,0.55,-2.86
770,-4.45,0.76,-3.41
780,-3.57,0.77,-3.76
790,-2.75,0.69,-3.62
800,-2.27,0.53,-3.35
810,-1.97,0.4,-3.37
820,-1.85,0.36,-3.34
830,-2.01,0.49,-3.13
840,-2.15,0.52,-2.82
850,-1.9,0.61,-2.72
860,-1.51,0.76,-2.67
870,-1.26,0.89,-2.38
880,-1.63,1.03,-2.28
890,-1.64,1.33,-1.85
900,-1.97,1.81,-1.08
910,-2.31,2.38,0.14
920,-2.63,2.94,1.13
930,-2.81,3.44,1.9
940,-2.94,4.16,2.64
950,-3.1,4.81,3.17
960,-3.16,5.22,3.7
970,-3.18,5.7,4.41
980,-3.27,6.2,5.56
990,-3.31,6.56,6.93
1000,-3.15,6.88,8.2
