timestamp,x,y,z
0,-4.88,5.27,8.55
10,-4.67,5.62,8.75
20,-4.54,5.8,9.06
30,-4.32,5.88,9.31
40,-4.11,6.04,9.35
50,-3.87,6.12,9.56
60,-3.64,6.14,9.78
70,-3.48,6.18,9.83
80,-3.22,6.3,9.67
90,-2.96,6.24,9.51
100,-2.47,6.21,8.79
110,-2.19,5.96,8.09
120,-1.81,5.67,7.52
130,-1.57,5.66,5.73
140,-1.46,5.44,4.46
150,-1.23,5.1,3.17
160,-0.67,5.05,1.02
170,0.79,5.21,-2.07
180,2.4,6.56,-7.29
190,4.28,5.06,-8.21
200,4.24,4.31,-7.49
210,4.42,4.14,-7.0
220,4.98,4.1,-6.61
230,4.78,3.39,-5.05
240,4.19,1.82,-3.67
250,3.13,0.17,-3.1
260,2.8,-1.46,-2.86
270,2.35,-2.66,-3.11
280,2.04,-3.9,-3.25
290,1.9,-4.59,-4.33
300,2.69,-5.21,-4.32
310,0.08,-4.58,-6.84
320,8.3,-7.21,-6.07
330,1.9,-10.13,2.02
340,0.77,-10.48,4.61
350,-2.96,-9.3,5.58
360,-3.42,-8.73,8.66
370,-2.94,-7.91,11.95
380,-1.9,-5.98,11.9
390,-0.14,-4.83,12.72
400,-0.78,-4.65,13.75
410,-2.88,-4.58,12.56
420,-4.97,-4.21,9.37
430,-5.17,-4.97,9.17
440,-4.87,-4.8,8.55
450,-5.54,-5.23,8.84
460,-9.35,-6.93,9.42
470,-8.85,-6.17,11.47
480,-10.49,-6.55,16.41
490,-11.77,-5.78,18.89
500,-13.66,-5.1,20.92
510,-14.44,-5.02,22.35
520,-14.7,-4.97,21.67
530,-15.33,-4.66,18.5
540,-14.92,-4.31,16.19
550,-13.81,-4.19,15.21
560,-12.55,-3.79,14.49
570,-12.18,-3.08,14.53
580,-12.2,-2.59,15.05
590,-11.46,-2.03,15.73
600,-10.45,-1.29,15.89
610,-9.13,-0.79,15.58
620,-7.71,-0.13,15.26
630,-6.91,0.45,15.13
640,-6.21,1.13,14.19
650,-5.77,1.6,13.53
660,-6.0,2.19,14.16
670,-6.77,2.51,15.4
680,-7.16,2.42,17.45
690,-6.8,2.15,19.92
700,-6.27,1.02,21.6
710,-4.7,-0.49,21.25
720,-4.75,-3.07,21.28
730,-5.1,-5.32,20.22
740,-4.42,-7.0,18.44
750,-1.56,-8.46,17.02
760,-2.4,-9.82,12.35
770,-3.87,-11.6,9.05
780,-3.11,-12.5,5.61
790,-2.53,-12.35,3.28
800,-2.39,-12.59,0.96
810,-2.49,-12.47,-1.96
820,-1.89,-12.1,-4.45
830,-1.78,-10.82,-6.24
840,-2.03,-9.1,-6.99
850,-2.48,-8.02,-6.71
860,-3.08,-7.0,-6.74
870,-3.19,-6.22,-5.9
880,-3.28,-5.13,-5.4
890,-3.42,-4.01,-4.32
900,-3.9,-2.72,-3.28
910,-3.83,-1.31,-2.19
920,-3.64,0.12,-1.34
930,-3.58,1.29,-0.81
940,-3.61,2.01,-0.22
950,-3.28,2.63,0.05
960,-3.42,3.14,0.09
970,-3.3,3.48,0.1
980,-3.96,3.85,-0.45
990,-4.62,4.04,-0.63
1000,-5.15,4.41,-0.55
