timestamp,x,y,z
0,-5.89,3.58,5.17
10,-6.04,3.77,4.92
20,-6.29,4.02,4.49
30,-6.46,4.27,3.95
40,-6.49,4.1,4.26
50,-6.91,4.17,4.06
60,-7.7,4.52,3.6
70,-8.54,4.64,3.6
80,-8.62,4.83,3.58
90,-8.35,5.19,3.15
100,-7.99,5.58,2.83
110,-7.35,5.94,2.84
120,-6.77,6.24,2.64
130,-6.8,6.43,2.5
140,-7.06,6.29,2.92
150,-7.25,6.25,2.87
160,-7.37,6.2,2.55
170,-7.7,6.01,2.8
180,-7.67,5.88,2.97
190,-7.37,5.69,3.42
200,-7.02,5.58,3.99
210,-6.57,5.75,4.47
220,-5.83,6.2,4.41
230,-4.78,6.41,3.84
240,-3.44,6.18,3.73
250,-2.57,5.64,3.4
260,-1.98,4.71,3.83
270,-1.37,3.68,4.53
280,-1.29,2.26,5.45
290,-0.94,1.01,6.74
300,-0.97,-0.11,7.86
310,-0.94,-1.25,8.68
320,0.18,-2.25,9.49
330,1.64,-3.11,9.95
340,2.94,-4.1,9.48
350,3.56,-5.78,9.11
360,4.35,-7.32,8.58
370,5.6,-9.07,8.18
380,8.09,-11.04,6.86
390,10.3,-13.21,5.16
400,10.52,-15.2,4.25
410,9.39,-16.93,4.37
420,8.15,-18.72,5.07
430,5.4,-20.41,5.9
440,3.02,-22.0,5.63
450,-0.15,-22.99,6.02
460,-1.3,-22.48,6.5
470,0.02,-20.39,5.36
480,1.88,-17.67,2.54
490,5.43,-15.16,0.43
500,9.14,-11.71,-0.84
510,9.5,-8.29,-3.57
520,5.55,-7.13,2.16
530,6.1,-5.9,1.17
540,3.44,-5.14,2.44
550,0.83,-2.9,4.22
560,-3.62,-0.96,9.6
570,-7.07,0.48,15.08
580,-10.52,2.4,20.92
590,-6.45,7.25,27.03
600,-7.21,9.22,36.51
610,-10.58,14.3,35.48
620,-9.38,17.98,35.7
630,-4.73,21.37,33.34
640,-2.55,22.5,31.68
650,-3.46,22.88,29.48
660,-3.17,22.03,26.35
670,-3.53,20.14,22.1
680,-3.39,17.01,17.33
690,-5.36,14.12,11.41
700,-7.91,11.26,6.75
710,-9.73,8.41,3.77
720,-11.0,6.68,1.01
730,-11.4,6.08,-1.31
740,-11.28,5.21,-3.53
750,-11.78,4.08,-4.78
760,-9.89,2.35,-5.12
770,-5.66,-0.58,-3.51
780,-1.58,-3.72,0.1
790,4.19,-5.28,2.34
800,7.48,-7.25,15.5
810,19.14,-7.19,17.65
820,27.15,-8.02,16.17
830,27.67,-11.9,10.92
840,27.65,-17.84,2.57
850,18.4,-24.4,2.46
860,9.16,-26.32,3.9
870,3.31,-26.44,6.18
880,-2.43,-23.93,8.06
890,-6.89,-20.81,7.56
900,-11.3,-17.55,10.54
910,-8.2,-14.21,7.95
920,-5.09,-10.19,6.91
930,-0.91,-5.25,4.65
940,-3.63,-2.4,4.76
950,5.8,0.08,1.73
960,11.25,3.16,0.94
970,10.27,5.02,1.78
980,6.79,3.31,3.8
990,2.66,2.19,5.79
1000,0.16,0.84,7.37
