timestamp,x,y,z
0,-4.77,2.01,1.7
10,-4.48,1.84,0.87
20,-4.62,1.52,0.5
30,-4.94,0.96,0.41
40,-5.51,0.24,0.15
50,-6.11,-0.37,-1.06
60,-8.29,-1.89,-1.44
70,-10.47,-2.98,-2.26
80,-12.6,-4.08,-2.38
90,-14.35,-4.81,-2.23
100,-16.14,-5.31,-2.38
110,-17.92,-5.73,-2.69
120,-19.19,-5.99,-2.62
130,-19.88,-6.17,-1.88
140,-19.89,-6.18,-0.61
150,-18.78,-6.09,1.83
160,-16.02,-6.58,5.36
170,-13.0,-6.68,9.27
180,-10.69,-6.76,13.39
190,-8.07,-6.32,17.42
200,-4.64,-4.93,20.06
210,-1.2,-4.72,23.29
220,0.95,-3.17,24.74
230,2.63,-2.14,25.62
240,3.8,-0.97,24.81
250,4.04,-0.19,23.48
260,3.97,0.69,21.33
270,4.05,1.43,18.94
280,5.26,2.13,16.88
290,7.02,2.83,14.33
300,8.55,3.14,12.16
310,10.02,3.28,10.8
320,11.79,3.27,9.63
330,13.24,2.89,8.78
340,13.79,1.92,8.48
350,12.99,0.62,8.07
360,11.09,-0.83,7.89
370,9.31,-2.19,7.25
380,8.14,-3.37,7.34
390,7.48,-4.46,8.15
400,7.16,-5.46,8.97
410,6.3,-6.22,9.67
420,5.58,-6.94,9.89
430,4.72,-7.56,9.69
440,3.94,-7.96,9.24
450,3.42,-8.13,8.75
460,2.92,-8.18,8.23
470,2.13,-8.11,7.59
480,1.28,-7.72,6.13
490,0.48,-7.1,4.23
500,-0.23,-6.29,2.43
510,-0.53,-5.43,1.33
520,-0.42,-4.67,0.51
530,-0.12,-4.23,0.11
540,0.15,-4.19,-0.26
550,-0.4,-4.44,-0.06
560,-1.62,-5.12,0.67
570,-2.87,-5.79,1.89
580,-4.57,-6.43,2.99
590,-6.21,-6.91,3.46
600,-7.68,-7.16,3.13
610,-8.53,-7.03,2.38
620,-9.38,-6.41,1.43
630,-10.6,-6.07,0.52
640,-12.14,-5.55,-0.01
650,-13.51,-5.23,0.14
660,-14.56,-5.03,0.68
670,-15.56,-4.8,0.67
680,-16.82,-4.74,0.56
690,-18.26,-4.68,0.57
700,-19.33,-4.44,0.79
710,-20.24,-3.71,1.61
720,-20.86,-2.89,2.05
730,-17.67,-3.46,2.76
740,-18.65,-3.17,7.57
750,-18.38,-3.56,9.87
760,-15.19,-3.87,12.02
770,-13.16,-3.51,13.01
780,-10.54,-3.17,13.27
790,-8.25,-2.71,12.76
800,-5.89,-1.79,12.89
810,-2.7,-0.98,13.74
820,0.02,0.05,15.76
830,3.26,1.01,19.21
840,6.03,1.53,22.83
850,8.1,2.23,24.78
860,9.61,2.63,25.42
870,10.26,3.15,24.17
880,10.45,3.41,22.95
890,10.47,3.35,21.77
900,10.26,3.4,20.19
910,9.58,3.25,19.27
920,9.38,2.73,18.65
930,9.42,2.24,17.45
940,9.26,1.98,15.23
950,8.76,1.84,12.41
960,8.14,1.75,8.49
970,7.81,1.64,6.03
980,7.54,1.75,3.79
990,7.05,1.51,2.0
1000,6.27,1.37,0.58
