timestamp,x,y,z
0,-5.75,2.43,2.96
10,-5.96,2.22,3.13
20,-6.26,2.11,2.82
30,-6.39,2.0,2.9
40,-6.36,1.89,3.0
50,-6.22,1.84,2.83
60,-5.87,1.73,2.36
70,-5.45,1.59,1.48
80,-5.13,1.23,0.97
90,-5.23,0.89,0.79
100,-5.81,0.58,0.78
110,-6.37,0.21,0.37
120,-6.89,-0.13,-0.07
130,-7.61,-0.69,-0.62
140,-8.05,-1.45,-1.27
150,-7.61,-2.05,-2.1
160,-9.49,-3.51,-1.9
170,-9.82,-4.85,-3.36
180,-11.53,-6.38,-4.63
190,-13.9,-7.74,-5.57
200,-15.75,-9.05,-6.0
210,-17.71,-10.13,-6.05
220,-18.85,-10.93,-5.54
230,-19.01,-11.37,-5.91
240,-16.99,-12.12,-6.32
250,-14.9,-12.12,-6.59
260,-11.82,-13.1,-6.11
270,-8.37,-15.9,2.99
280,-6.26,-16.38,10.47
290,-3.27,-13.81,10.45
300,-0.54,-12.92,13.58
310,0.8,-11.93,19.28
320,1.39,-10.61,23.46
330,1.11,-9.41,25.98
340,0.41,-8.8,27.47
350,-0.55,-8.48,27.51
360,-0.9,-7.75,25.33
370,-0.55,-7.34,23.26
380,-0.5,-7.18,22.81
390,-0.05,-7.32,22.16
400,1.45,-7.26,22.35
410,3.9,-5.92,18.88
420,6.85,-5.47,17.23
430,10.18,-4.84,16.58
440,13.02,-4.34,17.31
450,15.15,-2.09,14.61
460,16.61,-1.98,15.74
470,16.76,-1.53,14.39
480,17.53,-1.12,11.14
490,18.0,-0.14,7.46
500,18.57,0.95,3.31
510,18.49,1.7,0.24
520,18.49,2.27,-1.29
530,18.6,2.38,-1.39
540,17.37,1.8,1.13
550,15.7,0.67,4.04
560,13.27,-0.62,6.24
570,10.84,-1.71,7.42
580,8.51,-2.72,7.85
590,6.21,-3.51,7.84
600,4.23,-4.01,6.94
610,2.18,-4.74,5.85
620,0.3,-5.48,4.28
630,-1.77,-6.5,2.55
640,-3.87,-7.64,0.62
650,-5.85,-8.67,-1.51
660,-7.48,-9.38,-3.59
670,-9.09,-9.74,-5.6
680,-10.81,-10.03,-6.97
690,-12.59,-9.59,-7.82
700,-14.19,-9.0,-6.76
710,-14.6,-8.6,-4.4
720,-15.24,-8.25,-3.17
730,-15.64,-7.78,-2.93
740,-15.28,-7.3,-3.28
750,-14.33,-6.76,-4.07
760,-13.88,-6.24,-4.14
770,-13.38,-5.67,-4.16
780,-12.89,-5.24,-4.35
790,-12.88,-4.97,-4.13
800,-11.83,-5.02,-3.61
810,-12.83,-4.53,-6.0
820,-11.65,-5.21,-5.43
830,-14.47,-7.2,0.82
840,-17.06,-7.21,0.45
850,-16.92,-7.32,-1.84
860,-17.47,-7.91,-1.32
870,-19.19,-8.35,0.34
880,-19.55,-8.31,0.46
890,-18.7,-8.22,0.58
900,-18.02,-8.2,1.35
910,-16.61,-7.76,2.52
920,-14.8,-7.36,3.31
930,-12.54,-7.17,4.51
940,-9.76,-6.63,5.55
950,-7.08,-7.92,4.61
960,-6.72,-4.17,-4.53
970,-7.41,-8.64,7.46
980,-6.67,-9.58,12.45
990,-5.95,-7.83,9.17
1000,-4.04,-8.44,9.43
