timestamp,x,y,z
0,-6.66,0.18,0.6
10,-6.8,-0.01,0.53
20,-6.83,-0.17,1.23
30,-6.99,-0.3,1.33
40,-7.31,-0.16,1.16
50,-7.78,-0.36,1.19
60,-8.06,-0.78,1.38
70,-8.27,-1.19,1.31
80,-8.12,-1.57,0.58
90,-8.05,-1.89,-0.69
100,-8.1,-2.66,-1.12
110,-8.65,-3.58,-0.31
120,-9.27,-4.07,-0.41
130,-9.38,-5.06,-0.35
140,-9.87,-5.16,-1.04
150,-10.3,-5.23,-1.63
160,-10.81,-5.86,-0.49
170,-11.29,-6.92,2.18
180,-10.83,-8.01,5.76
190,-9.55,-8.86,9.87
200,-8.26,-9.34,14.67
210,-7.23,-9.54,20.02
220,-5.18,-9.83,25.33
230,-3.96,-9.74,29.71
240,-3.66,-10.63,33.35
250,-1.58,-9.31,32.95
260,-1.47,-7.73,31.14
270,-0.25,-7.46,30.59
280,1.38,-7.07,29.15
290,2.21,-6.0,26.62
300,3.32,-4.87,23.72
310,5.14,-3.8,21.02
320,7.56,-4.13,19.73
330,9.07,-4.24,17.95
340,10.15,-4.43,15.53
350,10.57,-4.74,12.92
360,11.08,-4.69,9.51
370,10.66,-4.13,4.77
380,11.97,-3.05,-1.95
390,12.19,-2.65,-7.16
400,11.38,-2.27,-11.09
410,12.4,-1.87,-15.71
420,8.15,-1.54,-14.01
430,5.01,-1.77,-10.75
440,2.86,-1.91,-8.09
450,1.62,-1.79,-6.28
460,1.39,-1.57,-5.18
470,1.48,-1.34,-4.89
480,1.45,-1.1,-5.19
490,1.29,-0.86,-5.54
500,0.96,-0.66,-5.39
510,0.53,-0.54,-4.66
520,0.06,-0.54,-4.09
530,-0.61,-0.76,-4.41
540,-1.09,-1.2,-5.33
550,-1.26,-1.79,-6.96
560,-1.04,-2.61,-8.58
570,-1.81,-3.7,-8.5
580,-3.63,-5.04,-6.68
590,-6.48,-6.47,-3.88
600,-8.95,-8.01,-0.98
610,-10.23,-9.86,2.06
620,-19.69,-11.24,13.08
630,-18.68,-12.72,11.26
640,-17.08,-13.41,11.47
650,-21.96,-14.1,15.02
660,-26.73,-14.22,18.12
670,-27.17,-12.96,16.03
680,-25.79,-12.62,14.18
690,-23.93,-11.8,12.76
700,-21.99,-10.61,10.99
710,-18.63,-9.23,9.75
720,-17.16,-7.71,11.55
730,-17.66,-5.98,9.19
740,-12.15,-6.22,12.14
750,-8.16,-7.32,22.2
760,-5.37,-8.22,28.57
770,-2.84,-6.01,23.52
780,-3.13,-5.32,16.99
790,-3.51,-5.05,13.28
800,-3.22,-4.82,11.5
810,-2.49,-3.92,11.0
820,-0.92,-3.53,13.12
830,1.66,-2.68,15.86
840,5.5,-1.45,18.67
850,9.45,-0.33,22.42
860,11.7,-0.1,25.77
870,12.01,0.47,26.56
880,11.22,0.22,25.52
890,10.25,-0.28,23.52
900,9.67,-0.78,21.21
910,9.48,-1.36,18.49
920,9.21,-1.36,15.44
930,8.86,-1.51,12.13
940,10.33,-2.13,10.07
950,10.18,-2.65,6.92
960,8.53,-1.04,-1.4
970,10.38,-2.44,-3.7
980,8.07,-3.0,-4.29
990,6.76,-3.35,-4.72
1000,5.26,-3.88,-5.03
