timestamp,x,y,z
0,-6.1,0.96,4.37
10,-5.56,0.75,4.08
20,-4.94,0.49,3.77
30,-4.82,0.25,3.44
40,-4.97,-0.11,3.22
50,-5.47,-0.38,3.54
60,-5.89,-0.61,4.35
70,-6.29,-0.74,4.98
80,-6.56,-0.81,5.33
90,-6.79,-0.96,5.42
100,-6.87,-1.02,5.2
110,-6.83,-0.96,4.92
120,-6.78,-0.86,4.82
130,-6.59,-0.75,4.94
140,-6.41,-0.62,5.2
150,-6.25,-0.46,5.46
160,-5.96,-0.34,5.77
170,-5.49,-0.2,6.07
180,-4.92,-0.1,6.46
190,-4.45,0.02,6.48
200,-4.12,0.06,6.14
210,-3.98,-0.16,5.71
220,-4.1,-0.49,5.22
230,-4.6,-0.72,4.54
240,-4.87,-1.13,3.75
250,-5.12,-1.82,2.92
260,-5.51,-2.49,2.31
270,-6.51,-3.17,1.49
280,-7.68,-3.9,0.87
290,-9.04,-4.68,0.73
300,-9.44,-5.28,0.91
310,-10.62,-5.79,0.24
320,-11.12,-6.3,0.04
330,-11.92,-6.58,0.67
340,-11.84,-6.9,2.58
350,-10.48,-6.62,4.27
360,-8.35,-6.31,5.99
370,-6.07,-6.14,7.48
380,-3.65,-6.23,8.17
390,-1.73,-6.6,9.44
400,-1.51,-7.01,10.17
410,-2.04,-7.42,9.48
420,-3.65,-8.0,8.52
430,-5.72,-8.59,7.51
440,-7.92,-9.39,7.22
450,-9.61,-9.55,6.16
460,-10.56,-9.92,6.11
470,-10.13,-10.17,6.99
480,-8.68,-9.78,6.8
490,-6.56,-9.18,6.82
500,-4.46,-8.51,7.43
510,-1.97,-7.36,7.55
520,0.19,-5.86,7.11
530,2.29,-4.54,7.81
540,3.81,-3.24,9.53
550,5.15,-2.11,11.78
560,6.01,-1.63,14.4
570,5.62,-1.94,19.05
580,4.94,-3.03,25.67
590,4.88,-3.31,30.02
600,3.5,-3.21,31.73
610,3.64,-3.86,32.44
620,3.31,-3.4,29.8
630,4.25,-3.96,27.41
640,5.44,-4.31,23.68
650,6.22,-4.44,19.85
660,7.47,-4.55,15.77
670,8.44,-4.63,12.24
680,8.98,-4.75,9.45
690,8.54,-4.11,6.26
700,8.65,-3.89,1.97
710,7.96,-3.08,-3.81
720,7.99,-2.25,-9.43
730,9.17,-2.4,-10.87
740,7.86,-2.14,-8.61
750,6.3,-1.53,-5.01
760,5.54,-0.94,-1.6
770,5.26,-0.57,1.34
780,4.72,-0.3,3.47
790,4.76,-0.07,4.79
800,4.69,0.08,5.24
810,4.37,-0.06,5.55
820,3.62,0.0,5.12
830,3.05,0.33,3.34
840,2.52,0.5,1.34
850,1.89,0.18,0.35
860,1.57,-0.13,-1.29
870,1.18,-0.49,-3.06
880,0.43,-0.99,-4.18
890,-0.47,-2.0,-4.9
900,-1.55,-2.92,-4.89
910,-3.33,-4.33,-4.24
920,-5.66,-6.04,-4.1
930,-8.02,-7.98,-4.08
940,-10.13,-9.79,-3.77
950,-12.46,-11.22,-2.99
960,-17.1,-11.96,-0.02
970,-18.53,-12.27,0.23
980,-20.4,-12.03,0.96
990,-21.0,-11.35,0.18
1000,-20.58,-10.47,-1.15
