timestamp,x,y,z
0,-4.59,2.46,4.67
10,-4.68,2.48,4.62
20,-4.79,2.43,4.56
30,-4.86,2.43,4.42
40,-4.78,2.5,4.07
50,-4.69,2.61,3.41
60,-4.38,2.76,2.54
70,-4.15,2.82,1.66
80,-4.14,2.86,0.66
90,-4.39,2.83,-0.58
100,-4.81,2.88,-2.26
110,-5.24,2.61,-3.88
120,-5.32,1.84,-4.91
130,-5.77,0.79,-5.14
140,-6.86,-0.63,-5.06
150,-8.42,-2.12,-4.07
160,-9.67,-3.63,-3.02
170,-10.99,-4.99,-2.26
180,-12.39,-6.43,-1.9
190,-14.0,-8.12,-1.38
200,-15.91,-9.75,-0.05
210,-17.01,-11.32,0.19
220,-16.79,-12.43,0.92
230,-15.99,-13.54,3.19
240,-14.42,-13.78,6.59
250,-11.53,-15.39,9.79
260,-8.53,-16.69,14.77
270,-4.74,-16.53,19.25
280,-1.05,-16.36,24.66
290,3.02,-15.22,29.42
300,5.45,-13.99,31.85
310,6.08,-13.3,33.28
320,5.16,-12.75,33.09
330,3.68,-12.12,31.36
340,2.66,-11.71,29.63
350,2.77,-11.41,27.49
360,3.52,-11.02,24.26
370,4.19,-10.57,21.37
380,5.38,-10.73,20.43
390,7.37,-9.67,16.6
400,9.87,-8.54,13.46
410,12.1,-7.26,11.38
420,13.65,-6.21,10.6
430,14.2,-5.76,10.75
440,13.92,-5.39,9.79
450,13.34,-4.22,6.51
460,13.83,-1.82,-0.4
470,14.66,-1.36,-2.08
480,12.65,-0.74,-2.9
490,11.41,-0.38,-3.23
500,10.13,-0.27,-3.05
510,9.26,-0.63,-1.93
520,8.29,-1.06,-0.62
530,7.24,-1.55,0.4
540,6.26,-2.06,0.38
550,4.98,-2.26,-1.14
560,4.11,-2.59,-2.94
570,2.21,-2.69,-4.54
580,-0.01,-2.59,-5.7
590,-1.3,-1.99,-7.85
600,-1.61,-1.07,-9.66
610,-1.6,-0.83,-11.34
620,-0.94,-0.42,-13.24
630,-0.57,-0.33,-14.42
640,-0.77,-0.72,-13.52
650,-1.14,-1.34,-11.52
660,-1.86,-2.3,-8.84
670,-3.07,-3.25,-6.66
680,-4.66,-4.07,-5.04
690,-6.65,-4.8,-3.63
700,-8.85,-5.32,-2.35
710,-11.41,-5.94,-1.94
720,-14.43,-6.8,-1.03
730,-16.18,-7.57,-1.86
740,-18.86,-8.53,-1.96
750,-21.29,-9.59,-1.59
760,-23.59,-10.5,-0.87
770,-25.48,-11.09,0.61
780,-26.39,-11.55,2.34
790,-26.85,-11.28,4.29
800,-26.59,-11.75,7.25
810,-23.2,-10.53,5.63
820,-18.29,-12.04,13.99
830,-17.77,-11.09,15.99
840,-14.87,-10.91,16.39
850,-11.6,-10.85,17.72
860,-8.45,-9.89,18.83
870,-5.89,-9.04,18.96
880,-4.91,-7.93,18.84
890,-4.56,-7.04,19.14
900,-1.96,-6.78,22.67
910,1.67,-7.56,29.17
920,3.77,-7.42,34.12
930,4.76,-6.45,34.5
940,5.54,-5.77,33.49
950,8.96,-4.75,29.39
960,11.17,-3.53,24.91
970,11.2,-2.82,22.37
980,11.23,-2.26,20.06
990,11.03,-1.96,17.81
1000,10.48,-1.83,15.66
