timestamp,x,y,z
0,-4.36,3.22,5.23
10,-4.45,3.12,5.34
20,-4.6,3.07,5.5
30,-4.7,2.99,5.64
40,-4.79,2.97,5.8
50,-4.81,2.93,5.8
60,-4.77,2.91,5.73
70,-4.57,2.9,5.66
80,-4.41,2.93,5.5
90,-4.22,2.93,5.33
100,-3.88,2.98,5.38
110,-4.0,2.97,5.54
120,-3.96,2.81,5.65
130,-4.29,2.41,5.76
140,-4.36,2.13,5.54
150,-4.31,1.91,5.23
160,-4.47,1.39,5.45
170,-4.81,1.31,4.95
180,-5.73,0.79,4.44
190,-6.56,0.46,3.88
200,-7.42,0.79,2.58
210,-9.05,1.04,1.9
220,-10.6,1.42,1.47
230,-12.15,1.85,0.92
240,-13.52,2.33,1.1
250,-14.24,2.48,1.77
260,-15.17,2.39,3.4
270,-16.07,2.5,4.77
280,-16.5,2.73,6.22
290,-14.32,3.45,6.76
300,-10.92,4.19,7.63
310,-5.84,6.62,10.24
320,1.18,10.67,13.31
330,8.22,13.48,14.44
340,11.09,14.99,14.69
350,12.98,15.03,14.94
360,13.04,13.8,16.11
370,12.15,11.83,16.61
380,10.93,9.85,16.18
390,9.48,7.75,15.55
400,8.6,5.65,14.16
410,8.33,3.4,12.74
420,8.47,1.08,10.05
430,7.89,-1.08,7.14
440,7.53,-3.0,5.92
450,7.67,-5.09,6.31
460,8.09,-7.28,5.82
470,8.18,-9.47,4.77
480,7.14,-12.87,5.31
490,5.17,-15.93,5.2
500,2.56,-18.52,6.12
510,-1.63,-19.84,6.59
520,-5.01,-20.61,8.32
530,-7.74,-19.73,8.56
540,-9.19,-19.14,10.76
550,-9.15,-17.26,8.05
560,-8.46,-14.09,2.66
570,-7.6,-13.45,1.72
580,-7.99,-10.38,-2.91
590,-5.37,-10.52,-3.13
600,-6.87,-6.72,-6.92
610,-6.54,-4.7,-7.65
620,-11.0,-3.28,-7.66
630,-9.1,-2.53,-4.61
640,-13.7,-1.74,2.31
650,-18.32,-1.48,6.78
660,-20.84,-1.01,10.82
670,-21.71,-0.77,14.33
680,-19.24,0.01,16.61
690,-16.16,1.86,14.56
700,-9.84,1.19,18.06
710,-8.51,1.98,27.07
720,-5.8,4.75,24.17
730,-0.95,5.97,25.41
740,4.49,6.59,26.53
750,7.53,7.49,25.27
760,8.39,8.19,22.91
770,8.55,7.42,21.98
780,9.86,8.53,17.63
790,10.41,8.07,16.15
800,11.57,7.76,14.6
810,12.1,8.5,12.04
820,14.56,8.98,9.22
830,16.05,8.43,8.14
840,16.6,7.77,6.21
850,16.09,6.73,4.77
860,14.67,5.31,2.8
870,12.53,3.32,2.34
880,11.91,1.72,2.31
890,11.55,0.64,0.78
900,9.69,-0.15,-2.02
910,8.51,-1.85,-1.17
920,6.74,-2.7,-0.85
930,6.03,-3.8,0.46
940,4.69,-4.85,-0.53
950,3.78,-5.98,-0.76
960,2.44,-6.86,-0.91
970,1.42,-7.5,-1.13
980,-0.09,-8.4,-1.02
990,-2.19,-9.33,-1.22
1000,-3.63,-10.9,-2.25
