timestamp,x,y,z
0,-8.79,5.74,3.23
10,-8.94,5.75,3.68
20,-8.88,5.71,4.3
30,-8.73,5.66,5.09
40,-8.18,5.71,6.24
50,-7.66,5.79,7.84
60,-6.86,5.98,9.56
70,-5.92,6.01,11.03
80,-4.9,6.07,12.44
90,-3.56,6.03,13.52
100,-2.64,5.74,13.26
110,-2.46,5.14,12.26
120,-2.26,4.79,11.24
130,-1.86,4.23,9.86
140,-1.68,3.53,8.46
150,-1.27,2.88,6.83
160,-1.02,2.34,5.44
170,-1.0,1.77,4.54
180,-0.81,1.19,3.66
190,-0.57,0.53,3.01
200,-0.14,0.18,1.98
210,0.84,0.05,0.48
220,2.45,0.34,-1.86
230,4.04,1.26,-5.07
240,4.99,2.03,-8.78
250,4.96,2.33,-12.54
260,4.49,1.98,-15.51
270,3.81,1.12,-17.12
280,2.96,-0.23,-17.34
290,2.56,-1.78,-16.95
300,2.76,-3.03,-16.06
310,3.71,-4.29,-14.51
320,4.93,-5.67,-11.81
330,6.17,-6.62,-8.92
340,7.28,-7.36,-5.48
350,7.93,-8.1,-0.68
360,8.47,-8.4,5.15
370,10.03,-8.61,11.9
380,9.83,-9.43,18.95
390,5.07,-10.72,29.6
400,3.29,-11.05,34.7
410,-0.06,-11.15,36.93
420,-5.1,-11.62,37.44
430,-9.1,-11.3,35.08
440,-12.0,-9.91,29.37
450,-12.31,-8.28,23.93
460,-9.63,-9.71,27.31
470,-13.08,-8.58,28.1
480,-13.02,-6.78,25.54
490,-10.89,-5.7,24.63
500,-9.72,-5.26,24.49
510,-9.49,-4.5,22.8
520,-9.53,-3.51,21.43
530,-9.82,-2.55,21.04
540,-9.83,-1.69,21.96
550,-9.21,-1.34,24.44
560,-8.29,-0.98,26.61
570,-5.73,-1.18,28.36
580,-3.31,-1.57,27.99
590,-0.75,-1.56,25.09
600,1.43,-1.93,21.53
610,3.46,-3.14,18.03
620,5.13,-4.35,14.62
630,5.81,-4.74,9.33
640,4.78,-5.46,4.75
650,5.14,-6.69,2.87
660,6.68,-7.86,-0.98
670,5.48,-8.03,-5.37
680,3.68,-7.82,-8.42
690,1.24,-7.78,-9.77
700,-0.74,-7.57,-9.84
710,-2.32,-7.23,-9.07
720,-3.67,-6.87,-7.46
730,-4.23,-6.36,-5.87
740,-4.26,-5.51,-4.91
750,-3.84,-4.3,-4.52
760,-3.11,-2.9,-4.27
770,-2.34,-1.5,-4.09
780,-1.81,-0.08,-3.98
790,-1.82,1.2,-3.92
800,-1.8,2.27,-3.8
810,-2.2,3.21,-3.53
820,-2.72,4.07,-2.75
830,-2.9,4.86,-1.63
840,-3.16,5.6,-0.66
850,-3.1,6.17,0.49
860,-3.21,6.45,1.53
870,-3.68,6.63,2.39
880,-4.22,6.74,3.19
890,-4.53,6.9,3.77
900,-4.74,7.18,4.1
910,-4.8,7.4,4.26
920,-4.59,7.64,4.41
930,-4.31,7.92,4.8
940,-3.77,8.13,5.31
950,-3.28,8.2,5.89
960,-2.94,8.15,6.49
970,-2.63,7.94,6.99
980,-2.55,7.63,7.18
990,-2.68,7.21,7.18
1000,-2.93,6.68,6.96
