timestamp,x,y,z
0,-7.66,7.28,7.97
10,-8.17,6.96,8.49
20,-8.67,6.46,9.01
30,-8.71,6.11,8.83
40,-8.95,6.1,8.51
50,-8.58,5.99,7.58
60,-8.15,6.05,6.67
70,-7.82,6.09,6.2
80,-7.09,6.16,5.86
90,-5.98,6.4,5.43
100,-4.74,6.56,5.53
110,-3.25,6.98,6.34
120,-1.76,7.58,7.24
130,-0.2,8.11,7.07
140,0.17,8.26,6.77
150,0.37,8.12,5.77
160,0.37,7.94,4.28
170,1.03,7.58,2.84
180,0.36,7.38,1.62
190,-0.3,7.4,0.37
200,-0.27,7.17,-0.01
210,-0.44,7.36,0.02
220,-0.16,7.32,-0.32
230,0.59,7.29,-0.63
240,0.93,7.3,-1.75
250,1.6,6.78,-2.61
260,2.37,6.66,-3.9
270,3.0,6.18,-4.51
280,3.99,4.97,-3.95
290,4.54,4.03,-3.88
300,4.67,2.49,-3.44
310,3.66,0.2,-0.68
320,2.64,-1.22,-0.08
330,3.43,-4.08,-0.92
340,2.69,-6.73,0.37
350,2.38,-8.91,3.09
360,1.83,-10.14,5.68
370,1.88,-10.92,8.01
380,1.73,-11.81,10.02
390,1.35,-12.49,12.79
400,0.01,-13.14,14.63
410,-2.37,-13.69,15.39
420,-3.91,-13.87,16.04
430,-3.63,-13.63,15.18
440,-3.91,-12.43,11.91
450,-2.91,-11.9,10.31
460,-1.41,-10.75,8.68
470,0.33,-8.9,7.64
480,2.7,-7.37,7.03
490,3.25,-5.29,6.89
500,6.73,-1.83,2.0
510,5.08,-3.19,11.12
520,0.49,-1.29,9.14
530,-3.12,-0.97,7.08
540,-3.28,0.79,5.34
550,-1.7,2.76,6.83
560,-4.05,5.05,5.87
570,-6.09,7.92,7.76
580,-4.15,10.62,13.95
590,-2.43,14.16,20.4
600,-1.46,17.06,25.86
610,1.23,19.28,28.66
620,3.98,20.0,31.56
630,3.09,19.06,31.68
640,-0.23,17.96,29.49
650,-0.89,17.49,28.26
660,0.85,16.97,25.5
670,3.49,16.27,22.2
680,6.14,15.44,19.11
690,7.35,14.12,17.32
700,6.77,12.44,16.86
710,6.07,10.73,16.82
720,3.39,7.91,16.51
730,4.06,6.01,12.61
740,7.92,3.52,12.37
750,9.99,-0.24,12.79
760,8.96,-4.14,8.83
770,6.78,-6.73,4.88
780,5.23,-10.29,3.77
790,3.99,-13.63,4.42
800,2.09,-16.07,6.04
810,1.53,-18.94,9.07
820,0.29,-21.25,10.51
830,-2.46,-22.34,9.08
840,-5.03,-23.3,7.24
850,-8.08,-24.1,8.22
860,-9.73,-20.28,5.54
870,-10.27,-17.44,7.61
880,-10.01,-15.03,8.43
890,-9.69,-12.29,7.99
900,-8.06,-9.02,5.77
910,-5.23,-6.58,4.83
920,-2.76,-4.03,4.49
930,-0.4,-1.92,3.48
940,0.62,-0.34,2.31
950,0.85,0.92,1.68
960,0.3,1.71,1.52
970,-0.72,2.04,1.52
980,-1.6,2.12,1.86
990,-2.55,2.2,2.42
1000,-2.93,2.17,3.5
