timestamp,x,y,z
0,-9.39,2.8,6.07
10,-9.31,2.31,6.73
20,-9.07,2.02,6.78
30,-9.45,1.67,6.87
40,-10.31,1.45,7.17
50,-11.06,1.29,7.4
60,-11.28,1.21,7.49
70,-11.31,1.01,7.66
80,-11.24,1.03,8.13
90,-10.75,1.34,8.34
100,-9.45,1.94,8.44
110,-7.72,2.65,9.14
120,-5.67,3.44,9.92
130,-3.86,3.83,10.09
140,-2.56,4.14,9.27
150,-1.41,4.24,8.2
160,-0.7,4.24,7.93
170,-0.27,4.1,7.07
180,-0.04,3.66,6.44
190,0.36,3.5,5.46
200,0.47,3.17,4.88
210,0.82,2.82,4.14
220,1.32,2.81,3.4
230,1.8,2.85,2.55
240,2.31,2.83,1.59
250,2.91,2.77,0.72
260,3.53,2.86,-0.2
270,4.18,3.06,-0.67
280,4.63,3.09,-0.65
290,5.0,2.89,-0.35
300,5.16,2.54,-0.15
310,5.19,2.14,-0.29
320,4.98,1.92,-0.78
330,4.87,1.61,-1.26
340,4.98,1.15,-1.93
350,4.54,0.67,-2.25
360,3.62,0.03,-2.15
370,2.6,-0.47,-1.78
380,1.79,-1.06,-2.04
390,0.55,-1.62,-2.17
400,-0.13,-2.12,-1.42
410,-0.37,-2.25,-0.31
420,-0.18,-2.04,1.3
430,1.57,-0.84,3.72
440,3.38,-0.23,8.01
450,4.69,1.0,10.8
460,5.78,1.95,13.48
470,6.39,1.75,16.07
480,5.66,0.87,17.95
490,3.46,0.88,17.21
500,1.9,0.86,16.29
510,0.64,0.7,15.77
520,-0.12,1.03,15.52
530,-2.38,-1.31,17.09
540,1.13,4.87,9.48
550,1.48,0.96,14.9
560,-0.34,-0.61,18.21
570,-1.67,0.53,15.18
580,-2.89,-0.28,15.21
590,-2.72,-0.45,15.05
600,-3.1,-0.53,14.27
610,-3.23,-0.52,13.68
620,-4.01,0.07,13.12
630,-3.02,-0.31,14.17
640,-5.83,-0.65,14.87
650,-7.57,0.35,15.16
660,-8.07,0.49,15.86
670,-8.29,0.65,16.27
680,-7.98,0.54,16.8
690,-8.55,0.13,17.3
700,-8.58,-0.03,16.58
710,-8.25,-0.31,15.73
720,-8.04,-0.88,15.25
730,-7.82,-1.63,14.84
740,-7.91,-2.43,14.49
750,-8.0,-3.26,14.33
760,-8.21,-4.14,14.56
770,-8.48,-5.06,14.69
780,-8.49,-6.11,14.34
790,-8.08,-6.74,13.13
800,-7.38,-7.58,12.04
810,-7.27,-8.13,10.71
820,-6.69,-8.75,9.24
830,-6.52,-9.27,7.98
840,-6.46,-9.48,6.52
850,-6.33,-9.38,4.58
860,-6.1,-9.38,3.17
870,-5.86,-9.0,1.25
880,-5.37,-8.43,-0.62
890,-5.16,-7.87,-2.35
900,-4.76,-7.16,-4.09
910,-4.4,-6.05,-5.77
920,-4.37,-5.09,-6.77
930,-4.44,-4.3,-7.27
940,-4.18,-3.7,-7.23
950,-3.73,-3.09,-6.89
960,-3.94,-2.02,-6.03
970,-3.85,-1.02,-5.12
980,-3.34,-0.32,-4.39
990,-2.48,0.46,-3.4
1000,-2.44,1.34,-2.29
