timestamp,x,y,z
0,-5.67,3.53,6.45
10,-5.96,3.58,6.45
20,-6.3,3.66,6.36
30,-6.59,3.78,6.11
40,-6.93,3.85,6.11
50,-7.36,3.94,6.33
60,-7.97,4.05,6.79
70,-8.53,4.18,7.43
80,-8.82,4.35,8.08
90,-8.9,4.65,9.06
100,-8.77,4.83,10.36
110,-8.38,5.0,11.69
120,-7.67,5.23,12.86
130,-6.96,5.21,13.61
140,-6.02,4.9,13.79
150,-5.0,4.71,13.04
160,-3.81,4.95,11.09
170,-2.98,4.74,9.18
180,-2.69,4.47,7.36
190,-2.17,3.96,5.8
200,-2.06,3.46,4.39
210,-1.93,2.99,3.11
220,-1.6,2.33,2.11
230,-1.2,1.56,0.72
240,-0.56,0.94,-1.16
250,0.17,0.78,-4.02
260,0.5,0.85,-6.99
270,0.8,1.01,-9.76
280,1.61,0.87,-12.47
290,2.11,-0.09,-14.67
300,1.14,-1.43,-16.69
310,0.95,-3.04,-18.66
320,-0.17,-5.03,-19.33
330,-1.91,-7.17,-18.26
340,-3.37,-8.86,-17.69
350,-4.37,-9.99,-16.38
360,-4.92,-11.11,-14.76
370,-4.79,-12.67,-12.94
380,-4.35,-13.92,-10.45
390,-1.53,-14.9,-6.8
400,0.55,-16.32,-1.97
410,2.3,-17.21,4.93
420,4.96,-16.42,12.66
430,6.93,-15.5,20.17
440,4.85,-14.85,27.79
450,2.74,-13.82,30.78
460,-1.09,-13.03,31.93
470,-5.11,-11.99,31.8
480,-11.0,-10.69,29.95
490,-10.43,-6.03,28.31
500,-3.52,-7.4,31.75
510,-4.76,-7.41,40.36
520,-6.69,-4.53,39.04
530,-7.49,-3.29,37.1
540,-5.5,-2.94,34.86
550,-3.98,-2.39,30.4
560,-4.77,-2.68,25.76
570,-4.92,-2.58,21.68
580,-5.81,-2.84,19.73
590,-6.25,-3.34,19.16
600,-5.74,-3.65,19.14
610,-5.13,-4.66,21.21
620,-3.38,-7.29,24.57
630,-1.39,-8.39,22.9
640,1.56,-9.26,20.42
650,4.54,-10.6,18.41
660,5.89,-10.2,13.57
670,6.54,-8.91,7.09
680,8.01,-9.08,6.19
690,7.78,-8.78,4.33
700,7.68,-7.78,1.27
710,7.59,-6.76,-1.74
720,6.88,-5.6,-5.04
730,6.14,-4.14,-7.87
740,5.28,-2.83,-9.55
750,4.19,-1.9,-9.61
760,3.81,-0.98,-9.32
770,3.37,0.19,-9.45
780,2.53,1.12,-8.47
790,2.72,2.16,-6.29
800,2.77,3.28,-4.14
810,3.34,4.55,-2.92
820,3.43,5.53,-2.23
830,3.92,6.48,-1.54
840,4.45,7.42,-1.71
850,4.17,8.03,-2.12
860,3.17,8.06,-1.62
870,2.02,7.82,-0.53
880,0.95,7.39,0.43
890,-0.09,6.85,1.69
900,-0.7,6.32,2.83
910,-0.99,6.0,3.59
920,-1.0,5.83,4.12
930,-0.96,5.62,4.64
940,-1.05,5.43,5.18
950,-1.22,5.29,5.74
960,-1.39,5.32,6.19
970,-1.38,5.47,6.49
980,-1.09,5.76,6.63
990,-0.73,5.95,6.73
1000,-0.66,5.89,6.94
